,run,FolderName,Env,SampleID,Bat,Cow,Human,Unknown,Bat_std,Cow_std,Human_std,Unknown_std
0,1,Bat_1Sources_DrawNo1_r1,Bat_1Sources_DrawNo1,Bat-poo-6,0.3801499999999999,0.0,0.0,0.6198500000000001,0.0050894498720392,0.0,0.0,0.0050894498720391
1,1,Bat_1Sources_DrawNo1_r1,Bat_1Sources_DrawNo1,Bat-poo-5,0.0116,0.0,0.0,0.9884,0.0021540659228538,0.0,0.0,0.0021540659228537
2,1,Bat_1Sources_DrawNo1_r1,Bat_1Sources_DrawNo1,Bat-poo-C,0.0519,0.0,0.0,0.9481,0.0012806248474865,0.0,0.0,0.0012806248474865
3,1,Bat_1Sources_DrawNo1_r1,Bat_1Sources_DrawNo1,Bat-poo-3,0.972,5.000000000000001e-05,0.0,0.02795,0.0005,0.00015,0.0,0.0005220153254455
0,2,Bat_1Sources_DrawNo1_r2,Bat_1Sources_DrawNo1,Bat-poo-6,0.38065,0.0,0.0,0.6193500000000001,0.0055814424658864,0.0,0.0,0.0055814424658863
1,2,Bat_1Sources_DrawNo1_r2,Bat_1Sources_DrawNo1,Bat-poo-5,0.01275,0.0,0.0,0.9872499999999998,0.0015370426148939,0.0,0.0,0.0015370426148939
2,2,Bat_1Sources_DrawNo1_r2,Bat_1Sources_DrawNo1,Bat-poo-C,0.05255,0.0,0.0,0.94745,0.0017095320997278,0.0,0.0,0.0017095320997278
3,2,Bat_1Sources_DrawNo1_r2,Bat_1Sources_DrawNo1,Bat-poo-3,0.97225,0.0,0.0,0.02775,0.00025,0.0,0.0,0.00025
0,3,Bat_1Sources_DrawNo1_r3,Bat_1Sources_DrawNo1,Bat-poo-6,0.3811999999999999,0.0001,0.0,0.6187,0.0066226882759193,0.0002,0.0,0.0065810333535091
1,3,Bat_1Sources_DrawNo1_r3,Bat_1Sources_DrawNo1,Bat-poo-5,0.01265,5e-05,0.0,0.9873,0.0014326548781894,0.00015,0.0,0.0013638181696985
2,3,Bat_1Sources_DrawNo1_r3,Bat_1Sources_DrawNo1,Bat-poo-C,0.05155,0.0,0.0,0.94845,0.0023817010727629,0.0,0.0,0.0023817010727629
3,3,Bat_1Sources_DrawNo1_r3,Bat_1Sources_DrawNo1,Bat-poo-3,0.97215,0.0,0.0,0.02785,0.000838152730712,0.0,0.0,0.000838152730712
0,4,Bat_1Sources_DrawNo1_r4,Bat_1Sources_DrawNo1,Bat-poo-6,0.381,0.0,0.0,0.619,0.0054954526656136,0.0,0.0,0.0054954526656136
1,4,Bat_1Sources_DrawNo1_r4,Bat_1Sources_DrawNo1,Bat-poo-5,0.0128,0.0,0.0,0.9872,0.0012688577540449,0.0,0.0,0.0012688577540449
2,4,Bat_1Sources_DrawNo1_r4,Bat_1Sources_DrawNo1,Bat-poo-C,0.0518,0.0,0.0,0.9482,0.0023895606290697,0.0,0.0,0.0023895606290696
3,4,Bat_1Sources_DrawNo1_r4,Bat_1Sources_DrawNo1,Bat-poo-3,0.97205,0.0,0.0,0.02795,0.0008789197915623,0.0,0.0,0.0008789197915623
0,5,Bat_1Sources_DrawNo1_r5,Bat_1Sources_DrawNo1,Bat-poo-6,0.3838,5e-05,0.0,0.61615,0.0065582009728278,0.00015,0.0,0.0065193941436302
1,5,Bat_1Sources_DrawNo1_r5,Bat_1Sources_DrawNo1,Bat-poo-5,0.01285,0.0,0.0,0.98715,0.00155,0.0,0.0,0.0015499999999999
2,5,Bat_1Sources_DrawNo1_r5,Bat_1Sources_DrawNo1,Bat-poo-C,0.0526,5e-05,0.0,0.94735,0.0030643106892089,0.00015,0.0,0.0030004166377355
3,5,Bat_1Sources_DrawNo1_r5,Bat_1Sources_DrawNo1,Bat-poo-3,0.97185,5.000000000000001e-05,0.0,0.0281,0.0008077747210701,0.00015,0.0,0.0008306623862918
0,1,Bat_1Sources_DrawNo2_r1,Bat_1Sources_DrawNo2,Bat-poo-5,0.0066499999999999,0.0,0.0,0.9933499999999998,0.0018172781845386,0.0,0.0,0.0018172781845386
1,1,Bat_1Sources_DrawNo2_r1,Bat_1Sources_DrawNo2,Bat-poo-4,0.82175,5.000000000000001e-05,0.0,0.1782,0.000901387818866,0.00015,0.0,0.0008717797887081
2,1,Bat_1Sources_DrawNo2_r1,Bat_1Sources_DrawNo2,Bat-poo-C,0.1344,0.0,0.0,0.8655999999999999,0.0021071307505705,0.0,0.0,0.0021071307505705
3,1,Bat_1Sources_DrawNo2_r1,Bat_1Sources_DrawNo2,Bat-poo-3,0.9328999999999998,0.0,0.0,0.0670999999999999,0.0003,0.0,0.0,0.0003
0,2,Bat_1Sources_DrawNo2_r2,Bat_1Sources_DrawNo2,Bat-poo-5,0.0065999999999999,0.0,0.0,0.9934,0.0020591260281974,0.0,0.0,0.0020591260281974
1,2,Bat_1Sources_DrawNo2_r2,Bat_1Sources_DrawNo2,Bat-poo-4,0.82195,0.0,0.0,0.1780499999999999,0.000756637297521,0.0,0.0,0.000756637297521
2,2,Bat_1Sources_DrawNo2_r2,Bat_1Sources_DrawNo2,Bat-poo-C,0.13465,0.0,0.0,0.8653500000000001,0.0013793114224133,0.0,0.0,0.0013793114224133
3,2,Bat_1Sources_DrawNo2_r2,Bat_1Sources_DrawNo2,Bat-poo-3,0.93275,5e-05,0.0,0.0672,0.0005123475382979,0.00015,0.0,0.0004
0,3,Bat_1Sources_DrawNo2_r3,Bat_1Sources_DrawNo2,Bat-poo-5,0.0062,0.0,0.0,0.9938,0.0019646882704388,0.0,0.0,0.0019646882704388
1,3,Bat_1Sources_DrawNo2_r3,Bat_1Sources_DrawNo2,Bat-poo-4,0.8217500000000001,5.000000000000001e-05,0.0,0.1781999999999999,0.0005590169943749,0.00015,0.0,0.0005999999999999
2,3,Bat_1Sources_DrawNo2_r3,Bat_1Sources_DrawNo2,Bat-poo-C,0.13365,0.0,0.0,0.8663500000000001,0.0011629703349613,0.0,0.0,0.0011629703349612
3,3,Bat_1Sources_DrawNo2_r3,Bat_1Sources_DrawNo2,Bat-poo-3,0.9326,0.0,0.0,0.0674,0.0006244997998398,0.0,0.0,0.0006244997998398
0,4,Bat_1Sources_DrawNo2_r4,Bat_1Sources_DrawNo2,Bat-poo-5,0.0087,0.0,0.0,0.9913,0.0008717797887081,0.0,0.0,0.0008717797887081
1,4,Bat_1Sources_DrawNo2_r4,Bat_1Sources_DrawNo2,Bat-poo-4,0.82155,0.0,0.0,0.1784499999999999,0.00065,0.0,0.0,0.00065
2,4,Bat_1Sources_DrawNo2_r4,Bat_1Sources_DrawNo2,Bat-poo-C,0.1338,0.0,0.0,0.8661999999999999,0.00163095064303,0.0,0.0,0.00163095064303
3,4,Bat_1Sources_DrawNo2_r4,Bat_1Sources_DrawNo2,Bat-poo-3,0.9328999999999998,0.0,0.0,0.0671,0.000435889894354,0.0,0.0,0.000435889894354
0,5,Bat_1Sources_DrawNo2_r5,Bat_1Sources_DrawNo2,Bat-poo-5,0.0061999999999999,0.0001,0.0,0.9937,0.00200249843945,0.0002,0.0,0.0019899748742132
1,5,Bat_1Sources_DrawNo2_r5,Bat_1Sources_DrawNo2,Bat-poo-4,0.8214,5.000000000000001e-05,0.0,0.17855,0.0006244997998398,0.00015,0.0,0.0006103277807866
2,5,Bat_1Sources_DrawNo2_r5,Bat_1Sources_DrawNo2,Bat-poo-C,0.13475,5e-05,0.0,0.8652000000000001,0.0020279299790673,0.00015,0.0,0.0020518284528683
3,5,Bat_1Sources_DrawNo2_r5,Bat_1Sources_DrawNo2,Bat-poo-3,0.9327,0.0001,0.0,0.0672,0.000556776436283,0.0002,0.0,0.0004
0,1,Bat_1Sources_DrawNo3_r1,Bat_1Sources_DrawNo3,Bat-poo-5,0.0066,5e-05,0.0,0.99335,0.0020223748416156,0.00015,0.0,0.0020982135258357
1,1,Bat_1Sources_DrawNo3_r1,Bat_1Sources_DrawNo3,Bat-poo-4,0.8211999999999999,0.00015,0.0,0.17865,0.0005567764362829,0.0002291287847477,0.0,0.0004499999999999
2,1,Bat_1Sources_DrawNo3_r1,Bat_1Sources_DrawNo3,Bat-poo-C,0.13465,0.0,0.0,0.8653500000000001,0.002202839077191,0.0,0.0,0.002202839077191
3,1,Bat_1Sources_DrawNo3_r1,Bat_1Sources_DrawNo3,Bat-poo-3,0.9328,5e-05,0.0,0.06715,0.0002449489742783,0.00015,0.0,0.0002291287847477
